Tm,W-L%,PD,OSRS,DSRS
Philadelphia Eagles*,0.563,31,0.7,-0.4
Dallas Cowboys,0.5,113,3.8,1.5
New York Giants,0.25,-110,-1.8,-6.1
Washington Redskins,0.188,-169,-6.3,-4.5
Green Bay Packers*,0.813,63,0.6,2.6
Minnesota Vikings+,0.625,104,2.5,2.9
Chicago Bears,0.5,-18,-5.4,4.5
Detroit Lions,0.219,-82,-1.2,-4
New Orleans Saints*,0.813,117,5,2.3
Atlanta Falcons,0.438,-18,0.3,-0.4
Tampa Bay Buccaneers,0.438,9,4.9,-4.5
Carolina Panthers,0.313,-130,-1.9,-5.1
San Francisco 49ers*,0.813,169,6.7,4.3
Seattle Seahawks+,0.688,7,2.9,-0.2
Los Angeles Rams,0.563,30,2.2,1.7
Arizona Cardinals,0.344,-81,-0.3,-2.9
New England Patriots*,0.75,195,2.8,7.6
Buffalo Bills+,0.625,55,-3.5,5.7
New York Jets,0.438,-83,-5.7,-0.6
Miami Dolphins,0.313,-188,-2.4,-9.1
Baltimore Ravens*,0.875,249,11,4.7
Pittsburgh Steelers,0.5,-14,-4.3,4.6
Cleveland Browns,0.375,-58,-0.4,-1.5
Cincinnati Bengals,0.125,-141,-4.4,-2.9
Houston Texans*,0.625,-7,1,-0.5
Tennessee Titans+,0.563,71,1.8,1.7
Indianapolis Colts,0.438,-12,-1,-0.8
Jacksonville Jaguars,0.375,-97,-4.6,-2.1
Kansas City Chiefs*,0.75,143,6.2,2.9
Denver Broncos,0.438,-34,-4.8,2.7
Oakland Raiders,0.438,-106,-2.5,-4.4
Los Angeles Chargers,0.313,-8,-1.6,0.3